elo_rank,player,age,elo,helo,celo,gelo,atp_rank
1,Aryna Sabalenka,28.2,2180.9,2164.7,2083.6,1969.4,1
2,Coco Gauff,22.4,2126.9,2086.8,2046.2,1893.6,4
3,Elena Rybakina,27.1,2125.7,2112.2,2003.2,1885.5,2
4,Iga Swiatek,25.2,2111.9,2077.3,2032.1,1930.4,8
5,Jessica Pegula,32.4,2103.9,2063.9,1945.0,1920.1,3
6,Marta Kostyuk,24.1,2068.6,1982.9,1998.1,1828.1,11
7,Elina Svitolina,31.9,2058.4,1996.1,1988.8,1836.7,9
8,Mirra Andreeva,19.2,2035.2,1962.2,2015.0,1787.2,5
9,Linda Noskova,21.7,2026.8,1930.0,1837.3,1929.4,6
10,Naomi Osaka,28.7,2012.2,1943.4,1898.5,1835.1,13
11,Belinda Bencic,29.4,1996.3,1955.3,1852.1,1807.6,12
12,Alexandra Eala,21.2,1975.7,1915.9,1717.4,1846.1,18
13,Madison Keys,31.4,1974.8,1910.0,1887.7,1841.2,24
14,Karolina Muchova,29.8,1964.4,1920.7,1779.1,1791.8,7
15,Sorana Cirstea,36.3,1951.7,1908.6,1853.3,1700.5,17
16,Amanda Anisimova,24.9,1950.5,1913.2,1769.8,1788.6,10
17,Diana Shnaider,22.3,1939.7,1892.0,1865.2,1723.8,16
18,Anna Kalinskaya,27.6,1912.1,1867.2,1806.9,1736.5,23
19,Elise Mertens,30.7,1909.0,1846.0,1818.4,1783.0,20
20,Iva Jovic,18.6,1907.1,1835.8,1793.5,1814.5,14
21,Victoria Mboko,19.7,1890.9,1891.3,1741.1,1649.1,15
22,Barbora Krejcikova,30.6,1890.0,1836.8,1726.2,1789.2,29
23,Marie Bouzkova,28.0,1879.5,1810.0,1803.2,1766.3,26
24,Sara Bejlek,20.5,1878.0,1871.4,1775.0,1566.6,30
25,Sonay Kartal,24.3,1874.0,1832.6,1602.3,1731.6,124
26,Anastasia Potapova,25.3,1867.3,1778.5,1863.0,1655.8,25
27,Karolina Pliskova,34.3,1862.9,1800.6,1802.6,1753.5,57
28,Emma Navarro,25.2,1856.9,1760.2,1789.6,1760.3,27
29,Caty Mcnally,24.7,1845.1,1765.5,1760.6,1724.6,65
30,Taylor Townsend,30.3,1844.7,1817.5,1740.7,1625.2,96
31,Ekaterina Alexandrova,31.7,1844.7,1801.9,1736.9,1740.8,19
32,Hailey Baptiste,24.5,1843.9,1780.5,1770.5,1631.6,37
33,Maria Sakkari,31.0,1843.8,1822.2,1770.1,1666.2,35
34,Liudmila Samsonova,27.7,1841.2,1792.4,1751.1,1734.5,47
35,Jelena Ostapenko,29.1,1837.5,1772.5,1799.5,1761.5,32
36,Emma Raducanu,23.5,1834.0,1772.9,1726.8,1742.6,70
37,Katerina Siniakova,30.2,1833.4,1792.1,1715.8,1719.0,42
38,Nikola Bartunkova,20.4,1833.3,1778.2,1708.5,1716.6,34
39,Alina Korneeva,19.1,1832.1,1810.3,1671.4,1635.6,69
40,Qinwen Zheng,23.8,1829.0,1807.6,1799.8,1603.0,121
41,Elena Gabriela Ruse,28.7,1826.7,1748.7,1724.6,1737.6,64
42,Paula Badosa,28.6,1825.0,1770.4,1772.1,1662.3,87
43,Jaqueline Cristian,28.0,1824.5,1798.4,1741.4,1521.6,44
44,Jasmine Paolini,30.4,1823.6,1779.2,1762.9,1692.8,21
45,Kristina Liutova,16.4,1823.5,1783.4,1686.2,1586.7,125
46,Diane Parry,23.9,1820.1,1751.0,1723.5,1689.7,31
47,Olga Danilovic,25.0,1819.1,1739.8,1796.1,1639.9,311
48,Daria Snigur,24.3,1817.6,1773.9,1642.6,1681.0,45
49,Katie Volynets,24.6,1815.2,1774.2,1729.8,1697.5,78
50,Tereza Valentova,19.5,1810.9,1784.3,1759.6,1632.7,50
51,Varvara Gracheva,25.6,1809.9,1763.2,1701.4,1641.3,148
52,Leylah Fernandez,23.9,1802.7,1783.2,1700.6,1640.3,33
53,Ashlyn Krueger,22.2,1800.0,1710.1,1682.5,1752.0,60
54,Clara Tauson,23.6,1793.8,1764.0,1688.7,1626.5,38
55,Xiyu Wang,25.4,1793.2,1750.5,1740.9,1592.9,80
56,Daria Kasatkina,29.2,1792.4,1751.1,1768.1,1668.0,61
57,Ann Li,26.1,1791.7,1741.8,1735.8,1579.9,28
58,Katie Boulter,30.0,1790.4,1755.7,1675.1,1696.2,62
59,Magda Linette,34.4,1790.2,1737.4,1744.7,1639.0,82
60,Anhelina Kalinina,29.5,1786.4,1714.9,1772.8,1622.9,51
61,Elisabetta Cocciaretto,25.5,1779.0,1749.4,1699.6,1654.1,67
62,Mccartney Kessler,27.0,1777.9,1744.0,1658.3,1674.0,66
63,Maja Chwalinska,24.8,1777.6,1696.0,1773.0,1559.3,22
64,Zeynep Sonmez,24.2,1777.5,1717.0,1657.8,1667.0,53
65,Xin Yu Wang,24.8,1777.4,1732.0,1642.0,1701.0,43
66,Anastasia Pavlyuchenkova,34.8,1774.6,1741.6,1692.1,1678.7,445
67,Mayar Sherif,30.2,1773.0,1541.2,1761.4,1527.6,52
68,Viktorija Golubic,33.8,1772.6,1723.4,1666.0,1667.1,56
69,Camila Osorio,24.6,1772.5,1739.1,1713.5,1604.4,59
70,Donna Vekic,30.1,1768.3,1699.4,1734.3,1699.3,39
71,Peyton Stearns,24.8,1766.4,1723.6,1737.1,1533.1,55
72,Lilli Tagger,18.5,1765.0,1759.6,1632.4,1514.3,49
73,Yulia Putintseva,31.6,1764.0,1722.5,1722.9,1613.8,84
74,Laura Siegemund,38.3,1762.3,1710.2,1688.5,1620.8,102
75,Mananchaya Sawangkaew,24.1,1760.8,1707.7,1583.2,1688.8,94
76,Dayana Yastremska,26.2,1757.7,1700.8,1713.9,1647.4,113
77,Magdalena Frech,28.6,1757.2,1734.1,1663.7,1563.9,41
78,Robin Montgomery,21.9,1756.4,1659.2,1614.4,1732.6,187
79,Oleksandra Oliynykova,25.6,1754.8,1590.6,1729.9,1502.8,46
80,Maria Timofeeva,22.7,1752.8,1675.4,1716.5,1575.0,86
81,Hanne Vandewinkel,22.2,1744.7,1763.5,1585.9,1542.3,81
82,Darja Vidmanova,23.6,1740.5,1719.0,1562.0,1603.1,75
83,Sinja Kraus,24.3,1738.5,1642.0,1716.1,1554.9,90
84,Lanlana Tararudee,22.1,1738.2,1729.0,1557.4,1569.2,76
85,Anna Bondar,29.2,1738.0,1661.8,1740.1,1489.0,73
86,Eva Lys,24.5,1737.9,1707.5,1655.4,1574.4,98
87,Tatjana Maria,39.0,1734.6,1631.7,1601.4,1723.6,83
88,Jessica Bouzas Maneiro,23.9,1732.2,1663.5,1682.6,1651.9,105
89,Anastasia Zakharova,24.5,1730.7,1709.5,1589.4,1614.3,101
90,Talia Gibson,22.1,1730.0,1744.2,1551.7,1567.0,63
91,Ajla Tomljanovic,33.1,1729.9,1715.1,1622.1,1658.1,103
92,Solana Sierra,22.1,1724.1,1598.7,1718.8,1597.9,91
93,Yuliia Starodubtseva,26.5,1722.7,1652.1,1701.0,1562.6,58
94,Shuai Zhang,37.5,1722.5,1692.5,1600.0,1623.8,54
95,Anastasija Sevastova,35.7,1718.5,1664.3,1695.0,1619.5,597
96,Kamilla Rakhimova,24.9,1713.8,1683.9,1619.7,1599.2,92
97,Alina Charaeva,24.2,1710.6,1618.0,1675.7,1588.3,108
98,Francesca Jones,25.8,1706.9,1625.0,1706.3,1477.1,104
99,Marina Stakusic,21.3,1706.7,1672.1,1558.8,1592.9,140
100,Claire Liu,26.2,1706.1,1650.4,1636.4,1602.4,111
101,Sofia Kenin,27.7,1705.8,1664.2,1661.0,1579.9,110
102,Lois Boisson,23.2,1705.7,1568.6,1682.6,1482.6,237
103,Rebeka Masarova,26.9,1705.3,1633.2,1675.8,1643.6,180
104,Aliaksandra Sasnovich,32.3,1705.0,1672.0,1644.1,1599.4,136
105,Kaitlin Quevedo,20.5,1703.9,1605.8,1691.9,1526.7,107
106,Kimberly Birrell,28.3,1703.2,1691.4,1510.9,1570.0,71
107,Antonia Ruzic,23.5,1702.8,1670.1,1602.8,1589.7,85
108,Bianca Andreescu,26.1,1702.7,1674.4,1623.7,1614.5,183
109,Tamara Korpatsch,31.2,1701.3,1619.4,1695.4,1453.2,48
110,Elina Avanesyan,23.8,1701.2,1643.4,1675.1,1591.5,159
111,Cristina Bucsa,28.6,1700.8,1677.0,1552.1,1583.2,40
112,Polina Kudermetova,23.1,1699.6,1649.1,1635.5,1608.8,97
113,Sloane Stephens,33.4,1699.2,1645.0,1672.7,1597.4,209
114,Tyra Caterina Grant,18.3,1699.1,1557.9,1640.7,1637.4,149
115,Janice Tjen,24.2,1697.3,1692.2,1580.0,1564.8,36
116,Kaja Juvan,25.5,1696.2,1637.2,1684.7,1641.5,168
117,Vera Zvonareva,41.8,1695.4,1662.7,1615.1,1633.4,292
118,Greet Minnen,28.9,1694.6,1637.8,1594.1,1652.4,176
119,Panna Udvardy,27.9,1693.8,1608.6,1647.4,1560.1,68
120,Maya Joint,20.3,1690.4,1662.2,1627.1,1590.5,72
121,Jil Teichmann,28.9,1689.1,1632.1,1653.9,1482.6,175
122,Anna Blinkova,27.9,1688.4,1650.1,1600.7,1593.5,95
123,Laura Samson,18.3,1686.3,1527.4,1709.1,1500.8,116
124,Petra Marcinko,20.7,1683.5,1591.9,1666.6,1549.5,77
125,Carol Young Suh Lee,24.6,1682.9,1680.5,1568.6,1517.6,143
126,Jeline Vandromme,18.6,1678.8,1674.8,1601.0,1535.8,139
127,Renata Zarazua,28.8,1678.0,1653.3,1593.4,1538.6,74
128,Storm Hunter,31.9,1672.1,1659.2,1543.1,1569.3,169
129,Leolia Jeanjean,31.0,1669.9,1588.4,1641.7,1577.1,127
